"ACO_ID","med_ACI","mean_ACI","UpdatedBnchmk","N_AB","BnchmkMinExp","GenSaveLoss","ABtotBnchmk","ABtotExp","Exp_From_Climate","SavLoss_Climate","SavLoss_Climate_perc"
"A2528",0.330620549471136,0.36943147084828,12863,7577,1355454,0,94377152,93021698,837195.282,2192649.28200001,0.617649349959501
"A2530",0.32860216599839,0.346978591320464,9427,31922,13146496,13146496,295232742,282086246,2538776.214,15685272.214,0.193114287944102
"A2542",0.426800510566829,0.45067179783545,11563,121396,83595632,83595632,1371453571,1287857939,11590721.451,95186353.451,0.13865223784659
"A2543",0.381341719666958,0.39569112817605,10364,9357,4003140,4003140,95450776,91447636,823028.724,4826168.72400001,0.205595788306181
"A2550",0.371207337335515,0.396500721147049,12835,41713,31476150,31476150,522720130,491243980,4421195.82,35897345.82,0.140461772484881
"A2551",0.351185095346574,0.38898156263429,11667,6472,13464564,13464564,74163096,60698532,546286.788,14010850.788,0.0405721854788616
"A2557",0.33294915165038,0.349267823438735,11796,14018,12113432,12113432,161593101,149479669,1345317.021,13458749.021,0.111059939165052
"A2559",0.349006318321745,0.373749112024935,11368,9159,533065,0,101335052,100801987,907217.883,1440282.883,1.70188979392757
"A2569",0.340043539800379,0.382009352432996,11219,9368,2420724,2420724,101753124,99332400,893991.6,3314715.59999999,0.369307529482913
"A2571",0.341400143255974,0.362386834344839,14418,38784,10144641,0,545457768,535313128,4817818.152,14962458.152,0.474912532833833
"A2575",0.308119392880194,0.345711877047871,10522,43373,5626851,5626851,445797705,440170854,3961537.686,9588388.68599999,0.704041689747958
"A2587",0.31937745578595,0.354793229050453,11107,17951,-1871737,0,193522271,195394008,1758546.072,-113190.928000003,-0.939526264640811
"A2591",0.335141374576388,0.369598163576018,9541,34639,4556662,0,322945043,318388381,2865495.429,7422157.42900002,0.628858455817004
"A2592",0.342755360679352,0.368036286010902,12477,40881,31073688,31073688,499993978,468920290,4220282.61,35293970.61,0.135815311333499
"A2597",0.372811913245076,0.460501954093765,10788,8478,2530107,2530107,88463386,85933279,773399.511,3303506.51100001,0.305678578415856
"A2598",0.352263043963173,0.384806107242182,12397,45125,13217930,13217930,544350397,531132467,4780192.203,17998122.2029999,0.361644539122234
"A2599",0.405552485979357,0.442891334715653,11242,8909,1437035,0,97540119,96103085,864927.765,2301961.765,0.601882880375217
"A2600",0.383916236476377,0.415909656484372,10008,23437,12298979,12298979,229297660,216998681,1952988.129,14251967.129,0.158792703768338
"A2602",0.24223648675553,0.298046262603308,11135,7462,-305936,0,80549622,80855559,727700.031,421763.031000003,-2.37859889323258
"A2612",0.331556201328769,0.367569775953046,12415,11708,3571628,0,141605053,138033425,1242300.825,4813928.82499999,0.347824808462692
"A2616",0.415019420980447,0.431104891075581,11213,119919,83484383,83484383,1311421321,1227936937,11051432.433,94535816.4330001,0.132377254713616
"A2619",0.347195593098312,0.381065884353874,12513,29403,1276918,0,354423693,353146774,3178320.966,4455239.96600002,2.48905721902269
"A2620",0.331553520017587,0.362674124896347,11851,83471,-25781921,0,964536686,990318606,8912867.454,-16869052.546,-0.345702263768475
"A2628",0.391238918304042,0.405589233820282,13109,6759,1320402,0,85993375,84672972,762056.748,2082459.748,0.577140710177655
"A2631",0.343768539521382,0.376741066724575,13856,16603,3735092,0,223866241,220131149,1981180.341,5716272.34099999,0.530423438298171
"A2634",0.416252444921008,0.422880292919817,12521,4910,3351530,3351530,60413273,57061743,513555.687,3865085.687,0.153230222316375
"A2643",0.314541514615606,0.350328258034703,11932,5342,10462598,10462598,62519226,52056628,468509.652,10931107.652,0.0447794756139921
"A2645",0.362325951409224,0.401285260080643,10840,21605,3804338,0,229086547,225282209,2027539.881,5831877.88100001,0.532954716694471
"A2660",0.405175943641989,0.417972448527322,10184,9632,971514,0,95785912,94814397,853329.573,1824844.573,0.878351287783808
"A2666",0.363706445708106,0.403652472553742,13694,11275,8904674,8904674,150354873,141450198,1273051.782,10177726.782,0.142964557938899
"A2671",0.380457571954161,0.408441055282273,26714,11512,31077247,31077247,284972906,253895660,2285060.94,33362306.94,0.0735283900790825
"A2683",0.309134564174233,0.350576830053313,15402,5678,4214681,4214681,85524338,81309657,731786.913,4946467.913,0.17362806651322
"A2684",0.301157979341133,0.336007946370179,10874,27425,13220162,13220162,289507207,276287045,2486583.405,15706745.405,0.188090237093915
"A2695",0.34174154387401,0.37858283507928,13524,26494,9907455,9907455,349473469,339566014,3056094.126,12963549.126,0.308464093553792
"A2704",0.315658200550035,0.356972369183197,12173,6118,4801577,4801577,72734099,67932522,611392.698,5412969.698,0.127331644999132
